Year	Volume	Source	XML URL	Pages	Tokens
1819	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502077.xml	574	556431
1820	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502078.xml	476	449974
1820	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502079.xml	488	460202
1820	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502080.xml	468	437067
1820	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502081.xml	584	565850
1821	5	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502084.xml	586	562400
1821	1_2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502082.xml	682	631372
1821	3_4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502083.xml	710	659904
1822	3	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_ehw4AAAAMAAJ.xml	466	446377
1822	4	Indiana University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_cN7jAAAAMAAJ.xml	616	629572
1822	1_2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502085.xml	690	646885
1823	1_2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502087.xml	684	638135
1823	3_4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502088.xml	694	649351
1824	1	Indiana University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_M-XjAAAAMAAJ.xml	444	421026
1824	2	Indiana University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_quXjAAAAMAAJ.xml	444	421198
1824	3	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_uhE4AAAAMAAJ.xml	472	454168
1824	4	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_ohI4AAAAMAAJ.xml	588	580157
1825	5	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502093.xml	618	605809
1825	1_2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502091.xml	680	636781
1825	3_4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502092.xml	696	650419
1826	5	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502096.xml	626	608149
1826	1_2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502094.xml	702	654179
1826	3_4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502095.xml	700	630637
1827	1	Indiana University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_NtXjAAAAMAAJ.xml	464	439769
1827	2	Indiana University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_nNXjAAAAMAAJ.xml	446	421909
1827	4	unknown library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_3tTjAAAAMAAJ.xml	618	628972
1828	1	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter183unkngoog.xml	458	427586
1828	2	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_ZTQ4AAAAMAAJ.xml	450	439083
1828	3	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_zDQ4AAAAMAAJ.xml	506	492011
1828	4	Oxford University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter05jahrgoog.xml	587	559995
1829	1	Oxford University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter00schugoog.xml	347	336100
1829	2	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter64unkngoog.xml	342	355950
1829	3	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_whY4AAAAMAAJ.xml	374	379733
1829	4	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter298unkngoog.xml	581	590844
1829	5	unknown library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_BdCEAAAAIAAJ.xml	480	410505
1830	1	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_aDI4AAAAMAAJ.xml	348	334035
1830	2	Oxford University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter15jahrgoog.xml	347	344401
1830	3	Oxford University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter262unkngoog.xml	377	375109
1830	4	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter216unkngoog.xml	572	571962
1830	5	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter276unkngoog.xml	381	321293
1831	1	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter161unkngoog.xml	344	343468
1831	2	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_ZRs4AAAAMAAJ.xml	346	333839
1831	3	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter16unkngoog.xml	371	374280
1831	4	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter24unkngoog.xml	486	485011
1831	5	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_BB04AAAAMAAJ.xml	354	285313
1832	1	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_Wx04AAAAMAAJ.xml	348	331678
1832	2	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter13unkngoog.xml	328	315963
1832	3	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_cR44AAAAMAAJ.xml	374	371880
1832	4	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter208unkngoog.xml	480	472023
